0:[[4227, 4409], [4468, 4338], [4227, 4338]]
12:[[2293, 1600], [2441, 1536], [2441, 1600]]
13:[[2642.7856, 3126.7583], [2546.3572, 3107.5], [2646, 3207]]
13:[[2642.7856, 3126.7583], [2511, 3008], [2546.3572, 3107.5]]
13:[[1766.7856, 3130.758], [1770, 3211], [1670.357, 3111.5]]
13:[[1766.7856, 3130.758], [1670.357, 3111.5], [1635, 3012]]
13:[[2152, 1920], [2233, 1920], [2152, 2240]]
13:[[2152, 2240], [2233, 1920], [2233, 2240]]
13:[[3022, 1280], [3163, 1280], [3022, 1344]]
13:[[3022, 1344], [3163, 1280], [3163, 1344]]
13:[[3022, 1536], [3163, 1536], [3022, 1600]]
13:[[3022, 1600], [3163, 1536], [3163, 1600]]
13:[[1848, 960], [2025, 960], [1848, 1280]]
13:[[1848, 1280], [2025, 960], [2025, 1280]]
14:[[4698.323, 4470], [4842.588, 4496], [4849, 4489.5]]
14:[[4698.323, 4470], [4631, 4473.25], [4842.588, 4496]]
14:[[1098.3235, 4467], [1249, 4486.5], [1242.5883, 4493]]
14:[[1098.3235, 4467], [1242.5883, 4493], [1031, 4470.25]]
14:[[787, 1280], [939, 1280], [787, 1360]]
14:[[787, 1360], [939, 1280], [939, 1360]]
14:[[787, 1536], [939, 1536], [787, 1600]]
14:[[787, 1600], [939, 1536], [939, 1600]]
14:[[1353, 640], [1566, 640], [1353, 736]]
14:[[1353, 736], [1566, 640], [1566, 736]]
14:[[1353, 896], [1566, 896], [1353, 960]]
14:[[1353, 960], [1566, 896], [1566, 960]]
15:[[3965.676, 3847.641], [3830.8027, 3908.5386], [4001, 3947]]
15:[[3965.676, 3847.641], [3773, 3822], [3830.8027, 3908.5386]]
15:[[1267.676, 3848.641], [1303, 3948], [1132.8029, 3909.5386]]
15:[[1267.676, 3848.641], [1132.8029, 3909.5386], [1075, 3823]]
15:[[2025, 960], [2199, 960], [2025, 1024]]
15:[[2025, 1024], [2199, 960], [2199, 1024]]
15:[[2025, 1216], [2199, 1216], [2025, 1280]]
15:[[2025, 1280], [2199, 1216], [2199, 1280]]
15:[[4003, 640], [4197, 640], [4003, 960]]
15:[[4003, 960], [4197, 640], [4197, 960]]
16:[[604, 3214], [466.127, 3025], [402, 3073.0508]]
16:[[604, 3214], [539.873, 3121.1016], [466.127, 3025]]
16:[[1227, 3213], [1025, 3072.0508], [1089.127, 3024]]
16:[[1227, 3213], [1089.127, 3024], [1162.873, 3120.1016]]
16:[[2556, 1920], [2636, 1920], [2556, 2016]]
16:[[2556, 2016], [2636, 1920], [2636, 2016]]
16:[[2556, 2176], [2636, 2176], [2556, 2240]]
16:[[2556, 2240], [2636, 2176], [2636, 2240]]
17:[[2537.7998, 3977.2646], [2621, 3942], [2589, 3942]]
17:[[2537.7998, 3977.2646], [2595.4, 4051], [2621, 3942]]
17:[[2537.7998, 3977.2646], [2525, 3999.706], [2595.4, 4051]]
17:[[1529.7999, 3969.2646], [1581, 3934], [1613, 3934]]
17:[[1529.7999, 3969.2646], [1613, 3934], [1587.3999, 4043]]
17:[[1529.7999, 3969.2646], [1587.3999, 4043], [1517, 3991.706]]
17:[[1439, 2240], [1471, 2240], [1439, 2320]]
17:[[1439, 2320], [1471, 2240], [1471, 2320]]
17:[[1439, 2496], [1471, 2496], [1439, 2560]]
17:[[1439, 2560], [1471, 2496], [1471, 2560]]
17:[[1131, 1600], [1243, 1600], [1131, 1920]]
17:[[1131, 1920], [1243, 1600], [1243, 1920]]
17:[[1895, 2240], [1921, 2240], [1895, 2256]]
17:[[1895, 2256], [1921, 2240], [1921, 2256]]
17:[[1895, 2256], [1921, 2256], [1895, 2268]]
17:[[1895, 2268], [1921, 2256], [1921, 2268]]
17:[[1895, 2268], [1921, 2268], [1895, 2284]]
17:[[1895, 2284], [1921, 2268], [1921, 2284]]
17:[[0, 0], [0, 0], [0, 0]]
17:[[0, 0], [0, 0], [0, 0]]
17:[[0, 0], [0, 0], [0, 0]]
17:[[0, 0], [0, 0], [0, 0]]
17:[[0, 0], [0, 0], [0, 0]]
17:[[0, 0], [0, 0], [0, 0]]
17:[[0, 0], [0, 0], [0, 0]]
17:[[0, 0], [0, 0], [0, 0]]
17:[[1895, 2284], [1921, 2284], [1895, 2296]]
17:[[1895, 2296], [1921, 2284], [1921, 2296]]
17:[[1895, 2296], [1921, 2296], [1895, 2312]]
17:[[1895, 2312], [1921, 2296], [1921, 2312]]
17:[[1895, 2432], [1921, 2432], [1895, 2560]]
17:[[1895, 2560], [1921, 2432], [1921, 2560]]
18:[[2022, 3691.2144], [2310.6792, 3761.9287], [2201.6226, 3688]]
18:[[2022, 3691.2144], [2362, 3816.5713], [2310.6792, 3761.9287]]
18:[[2022, 3691.2144], [2304.2642, 3823], [2362, 3816.5713]]
18:[[2022, 3691.2144], [2038.0378, 3819.7856], [2304.2642, 3823]]
18:[[2022, 3691.2144], [2031.6226, 3794.0713], [2038.0378, 3819.7856]]
18:[[2362, 3691.2144], [2541.6226, 3688], [2650.6794, 3761.9287]]
18:[[2362, 3691.2144], [2650.6794, 3761.9287], [2702, 3816.5713]]
18:[[2362, 3691.2144], [2702, 3816.5713], [2644.2642, 3823]]
18:[[2362, 3691.2144], [2644.2642, 3823], [2378.0378, 3819.7856]]
18:[[2362, 3691.2144], [2378.0378, 3819.7856], [2371.6226, 3794.0713]]
18:[[3563, 1280], [3695, 1280], [3563, 1312]]
18:[[3563, 1312], [3695, 1280], [3695, 1312]]
18:[[3563, 1536], [3695, 1536], [3563, 1600]]
18:[[3563, 1600], [3695, 1536], [3695, 1600]]
18:[[4545, 1920], [4603, 1920], [4545, 1936]]
18:[[4545, 1936], [4603, 1920], [4603, 1936]]
18:[[4545, 1936], [4603, 1936], [4545, 1948]]
18:[[4545, 1948], [4603, 1936], [4603, 1948]]
18:[[4545, 1948], [4603, 1948], [4545, 1964]]
18:[[4545, 1964], [4603, 1948], [4603, 1964]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[4545, 1964], [4603, 1964], [4545, 1976]]
18:[[4545, 1976], [4603, 1964], [4603, 1976]]
18:[[4545, 1976], [4603, 1976], [4545, 1992]]
18:[[4545, 1992], [4603, 1976], [4603, 1992]]
18:[[4545, 2112], [4603, 2112], [4545, 2240]]
18:[[4545, 2240], [4603, 2112], [4603, 2240]]
18:[[1790, 2240], [1817, 2240], [1790, 2256]]
18:[[1790, 2256], [1817, 2240], [1817, 2256]]
18:[[1790, 2256], [1817, 2256], [1790, 2268]]
18:[[1790, 2268], [1817, 2256], [1817, 2268]]
18:[[1790, 2268], [1817, 2268], [1790, 2284]]
18:[[1790, 2284], [1817, 2268], [1817, 2284]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[0, 0], [0, 0], [0, 0]]
18:[[1790, 2284], [1817, 2284], [1790, 2296]]
18:[[1790, 2296], [1817, 2284], [1817, 2296]]
18:[[1790, 2296], [1817, 2296], [1790, 2312]]
18:[[1790, 2312], [1817, 2296], [1817, 2312]]
18:[[1790, 2464], [1817, 2464], [1790, 2560]]
18:[[1790, 2560], [1817, 2464], [1817, 2560]]
19:[[3459.4595, 4413], [3436.946, 4345], [3408, 4357.9526]]
19:[[3459.4595, 4413], [3527, 4396.8096], [3436.946, 4345]]
19:[[3340.4595, 4413], [3289, 4357.9526], [3317.946, 4345]]
19:[[3340.4595, 4413], [3317.946, 4345], [3408, 4396.8096]]
19:[[1471, 2240], [1503, 2240], [1471, 2272]]
19:[[1471, 2272], [1503, 2240], [1503, 2272]]
19:[[1471, 2496], [1503, 2496], [1471, 2560]]
19:[[1471, 2560], [1503, 2496], [1503, 2560]]
19:[[3187, 1600], [3291, 1600], [3187, 1680]]
19:[[3187, 1680], [3291, 1600], [3291, 1680]]
19:[[3187, 1856], [3291, 1856], [3187, 1920]]
19:[[3187, 1920], [3291, 1856], [3291, 1920]]
20:[[2532.1904, 4499], [2584, 4463], [2516, 4479.364]]
20:[[1603.1906, 4495], [1587, 4475.364], [1655, 4459]]
20:[[1972, 2240], [1997, 2240], [1972, 2256]]
20:[[1972, 2256], [1997, 2240], [1997, 2256]]
20:[[1972, 2256], [1997, 2256], [1972, 2268]]
20:[[1972, 2268], [1997, 2256], [1997, 2268]]
20:[[1972, 2268], [1997, 2268], [1972, 2284]]
20:[[1972, 2284], [1997, 2268], [1997, 2284]]
20:[[0, 0], [0, 0], [0, 0]]
20:[[0, 0], [0, 0], [0, 0]]
20:[[0, 0], [0, 0], [0, 0]]
20:[[0, 0], [0, 0], [0, 0]]
20:[[0, 0], [0, 0], [0, 0]]
20:[[0, 0], [0, 0], [0, 0]]
20:[[0, 0], [0, 0], [0, 0]]
20:[[0, 0], [0, 0], [0, 0]]
20:[[1972, 2284], [1997, 2284], [1972, 2296]]
20:[[1972, 2296], [1997, 2284], [1997, 2296]]
20:[[1972, 2296], [1997, 2296], [1972, 2312]]
20:[[1972, 2312], [1997, 2296], [1997, 2312]]
20:[[1972, 2432], [1997, 2432], [1972, 2560]]
20:[[1972, 2560], [1997, 2432], [1997, 2560]]
21:[[1361.5255, 4251], [1243, 4335], [1432, 4302.6924]]
21:[[1361.5255, 4251], [1323.0847, 4257.4614], [1243, 4335]]
21:[[1172.5255, 4251], [1243, 4302.6924], [1054, 4335]]
21:[[1172.5255, 4251], [1054, 4335], [1134.0847, 4257.4614]]
21:[[0, 669], [192, 669], [0, 989]]
21:[[0, 989], [192, 669], [192, 989]]
21:[[1012, 2240], [1051, 2240], [1012, 2256]]
21:[[1012, 2256], [1051, 2240], [1051, 2256]]
21:[[1012, 2256], [1051, 2256], [1012, 2268]]
21:[[1012, 2268], [1051, 2256], [1051, 2268]]
21:[[1012, 2268], [1051, 2268], [1012, 2284]]
21:[[1012, 2284], [1051, 2268], [1051, 2284]]
21:[[0, 0], [0, 0], [0, 0]]
21:[[0, 0], [0, 0], [0, 0]]
21:[[0, 0], [0, 0], [0, 0]]
21:[[0, 0], [0, 0], [0, 0]]
21:[[0, 0], [0, 0], [0, 0]]
21:[[0, 0], [0, 0], [0, 0]]
21:[[0, 0], [0, 0], [0, 0]]
21:[[0, 0], [0, 0], [0, 0]]
21:[[1012, 2284], [1051, 2284], [1012, 2296]]
21:[[1012, 2296], [1051, 2284], [1051, 2296]]
21:[[1012, 2296], [1051, 2296], [1012, 2312]]
21:[[1012, 2312], [1051, 2296], [1051, 2312]]
21:[[1012, 2432], [1051, 2432], [1012, 2560]]
21:[[1012, 2560], [1051, 2432], [1051, 2560]]
22:[[651.22327, 4054], [962, 4076.5808], [933.165, 4057.2258]]
22:[[651.22327, 4054], [881.9029, 4154], [962, 4076.5808]]
22:[[651.22327, 4054], [683.2621, 4137.871], [881.9029, 4154]]
22:[[651.22327, 4054], [632, 4054], [683.2621, 4137.871]]
22:[[3802.2231, 4053], [4084.165, 4056.226], [4113, 4075.5808]]
22:[[3802.2231, 4053], [4113, 4075.5808], [4032.9028, 4153]]
22:[[3802.2231, 4053], [4032.9028, 4153], [3834.2622, 4136.871]]
22:[[3802.2231, 4053], [3834.2622, 4136.871], [3783, 4053]]
22:[[1275, 2240], [1310, 2240], [1275, 2256]]
22:[[1275, 2256], [1310, 2240], [1310, 2256]]
22:[[1275, 2256], [1310, 2256], [1275, 2268]]
22:[[1275, 2268], [1310, 2256], [1310, 2268]]
22:[[1275, 2268], [1310, 2268], [1275, 2284]]
22:[[1275, 2284], [1310, 2268], [1310, 2284]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[1275, 2284], [1310, 2284], [1275, 2296]]
22:[[1275, 2296], [1310, 2284], [1310, 2296]]
22:[[1275, 2296], [1310, 2296], [1275, 2312]]
22:[[1275, 2312], [1310, 2296], [1310, 2312]]
22:[[1275, 2432], [1310, 2432], [1275, 2560]]
22:[[1275, 2560], [1310, 2432], [1310, 2560]]
22:[[3211, 640], [3411, 640], [3211, 960]]
22:[[3211, 960], [3411, 640], [3411, 960]]
22:[[2160, 2240], [2180, 2240], [2160, 2256]]
22:[[2160, 2256], [2180, 2240], [2180, 2256]]
22:[[2160, 2256], [2180, 2256], [2160, 2268]]
22:[[2160, 2268], [2180, 2256], [2180, 2268]]
22:[[2160, 2268], [2180, 2268], [2160, 2284]]
22:[[2160, 2284], [2180, 2268], [2180, 2284]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[0, 0], [0, 0], [0, 0]]
22:[[2160, 2284], [2180, 2284], [2160, 2296]]
22:[[2160, 2296], [2180, 2284], [2180, 2296]]
22:[[2160, 2296], [2180, 2296], [2160, 2312]]
22:[[2160, 2312], [2180, 2296], [2180, 2312]]
22:[[2160, 2464], [2180, 2464], [2160, 2560]]
22:[[2160, 2560], [2180, 2464], [2180, 2560]]
23:[[2409, 2938.4], [2255, 3012], [2322.375, 3008.7998]]
23:[[2409, 2938.4], [2258.2083, 2983.2], [2255, 3012]]
23:[[2409, 2938.4], [2312.75, 2788], [2258.2083, 2983.2]]
23:[[2409, 2938.4], [2399.375, 2890.4], [2312.75, 2788]]
23:[[2255, 2938.4], [2168.375, 3008.7998], [2101, 3012]]
23:[[2255, 2938.4], [2101, 3012], [2104.2083, 2983.2]]
23:[[2255, 2938.4], [2104.2083, 2983.2], [2158.75, 2788]]
23:[[2255, 2938.4], [2158.75, 2788], [2245.375, 2890.4]]
23:[[1019, 1600], [1131, 1600], [1019, 1680]]
23:[[1019, 1680], [1131, 1600], [1131, 1680]]
23:[[1019, 1856], [1131, 1856], [1019, 1920]]
23:[[1019, 1920], [1131, 1856], [1131, 1920]]
23:[[1649, 2240], [1678, 2240], [1649, 2560]]
23:[[1649, 2560], [1678, 2240], [1678, 2560]]
23:[[3008, 640], [3211, 640], [3008, 960]]
23:[[3008, 960], [3211, 640], [3211, 960]]
23:[[4964, 1920], [5013, 1920], [4964, 1958.4]]
23:[[4964, 1958.4], [5013, 1920], [5013, 1958.4]]
23:[[4964, 2176], [5013, 2176], [4964, 2240]]
23:[[4964, 2240], [5013, 2176], [5013, 2240]]
24:[[2858.087, 3687], [2851.652, 3812.3572], [2916, 3773.7856]]
24:[[2858.087, 3687], [2793.739, 3822], [2851.652, 3812.3572]]
24:[[2858.087, 3687], [2768, 3786.6428], [2793.739, 3822]]
24:[[2858.087, 3687], [2768, 3754.5], [2768, 3786.6428]]
24:[[1199.0869, 3687], [1257, 3773.7856], [1192.6521, 3812.3572]]
24:[[1199.0869, 3687], [1192.6521, 3812.3572], [1134.7391, 3822]]
24:[[1199.0869, 3687], [1134.7391, 3822], [1109, 3786.6428]]
24:[[1199.0869, 3687], [1109, 3786.6428], [1109, 3754.5]]
24:[[3178, 1920], [3253, 1920], [3178, 1984]]
24:[[3178, 1984], [3253, 1920], [3253, 1984]]
24:[[3178, 2176], [3253, 2176], [3178, 2240]]
24:[[3178, 2240], [3253, 2176], [3253, 2240]]
24:[[1407, 2240], [1439, 2240], [1407, 2256]]
24:[[1407, 2256], [1439, 2240], [1439, 2256]]
24:[[1407, 2256], [1439, 2256], [1407, 2280]]
24:[[1407, 2280], [1439, 2256], [1439, 2280]]
24:[[1407, 2280], [1439, 2280], [1407, 2296]]
24:[[1407, 2296], [1439, 2280], [1439, 2296]]
24:[[0, 0], [0, 0], [0, 0]]
24:[[0, 0], [0, 0], [0, 0]]
24:[[0, 0], [0, 0], [0, 0]]
24:[[0, 0], [0, 0], [0, 0]]
24:[[0, 0], [0, 0], [0, 0]]
24:[[0, 0], [0, 0], [0, 0]]
24:[[0, 0], [0, 0], [0, 0]]
24:[[0, 0], [0, 0], [0, 0]]
24:[[1407, 2296], [1439, 2296], [1407, 2320]]
24:[[1407, 2320], [1439, 2296], [1439, 2320]]
24:[[1407, 2320], [1439, 2320], [1407, 2336]]
24:[[1407, 2336], [1439, 2320], [1439, 2336]]
24:[[1407, 2464], [1439, 2464], [1407, 2560]]
24:[[1407, 2560], [1439, 2464], [1439, 2560]]
25:[[2047.4915, 3948], [2339, 3823], [1961, 3845.4358]]
25:[[2047.4915, 3948], [2226.8813, 3877.487], [2339, 3823]]
25:[[4393.491, 3948], [4307, 3845.4358], [4685, 3823]]
25:[[4393.491, 3948], [4685, 3823], [4572.8813, 3877.487]]
25:[[2368, 0], [2747, 0], [2368, 320]]
25:[[2368, 320], [2747, 0], [2747, 320]]
26:[[3860, 4345], [3748, 4400.048], [3770.4, 4413]]
26:[[3972, 4345], [3882.4, 4413], [3860, 4400.048]]
26:[[1869, 2240], [1895, 2240], [1869, 2256]]
26:[[1869, 2256], [1895, 2240], [1895, 2256]]
26:[[1869, 2256], [1895, 2256], [1869, 2280]]
26:[[1869, 2280], [1895, 2256], [1895, 2280]]
26:[[1869, 2280], [1895, 2280], [1869, 2296]]
26:[[1869, 2296], [1895, 2280], [1895, 2296]]
26:[[0, 0], [0, 0], [0, 0]]
26:[[0, 0], [0, 0], [0, 0]]
26:[[0, 0], [0, 0], [0, 0]]
26:[[0, 0], [0, 0], [0, 0]]
26:[[0, 0], [0, 0], [0, 0]]
26:[[0, 0], [0, 0], [0, 0]]
26:[[0, 0], [0, 0], [0, 0]]
26:[[0, 0], [0, 0], [0, 0]]
26:[[1869, 2296], [1895, 2296], [1869, 2320]]
26:[[1869, 2320], [1895, 2296], [1895, 2320]]
26:[[1869, 2320], [1895, 2320], [1869, 2336]]
26:[[1869, 2336], [1895, 2320], [1895, 2336]]
26:[[1869, 2464], [1895, 2464], [1869, 2560]]
26:[[1869, 2560], [1895, 2464], [1895, 2560]]
27:[[64, 4411], [208.6429, 4359.364], [244, 4340]]
27:[[2473, 4415], [2653, 4344], [2617.6428, 4363.364]]
27:[[776, 2240], [817, 2240], [776, 2256]]
27:[[776, 2256], [817, 2240], [817, 2256]]
27:[[776, 2256], [817, 2256], [776, 2280]]
27:[[776, 2280], [817, 2256], [817, 2280]]
27:[[776, 2280], [817, 2280], [776, 2296]]
27:[[776, 2296], [817, 2280], [817, 2296]]
27:[[0, 0], [0, 0], [0, 0]]
27:[[0, 0], [0, 0], [0, 0]]
27:[[0, 0], [0, 0], [0, 0]]
27:[[0, 0], [0, 0], [0, 0]]
27:[[0, 0], [0, 0], [0, 0]]
27:[[0, 0], [0, 0], [0, 0]]
27:[[0, 0], [0, 0], [0, 0]]
27:[[0, 0], [0, 0], [0, 0]]
27:[[776, 2296], [817, 2296], [776, 2320]]
27:[[776, 2320], [817, 2296], [817, 2320]]
27:[[776, 2320], [817, 2320], [776, 2336]]
27:[[776, 2336], [817, 2320], [817, 2336]]
27:[[776, 2464], [817, 2464], [776, 2560]]
27:[[776, 2560], [817, 2464], [817, 2560]]
28:[[4112, 4458.5], [4192, 4413], [4048, 4465]]
28:[[4112, 4458.5], [4185.6, 4445.5], [4192, 4413]]
28:[[1832, 4459.5], [1768, 4466], [1912, 4414]]
28:[[1832, 4459.5], [1912, 4414], [1905.6, 4446.5]]
28:[[3679, 1920], [3744, 1920], [3679, 1958.4]]
28:[[3679, 1958.4], [3744, 1920], [3744, 1958.4]]
28:[[3679, 2176], [3744, 2176], [3679, 2240]]
28:[[3679, 2240], [3744, 2176], [3744, 2240]]
28:[[1310, 2240], [1343, 2240], [1310, 2256]]
28:[[1310, 2256], [1343, 2240], [1343, 2256]]
28:[[1310, 2256], [1343, 2256], [1310, 2280]]
28:[[1310, 2280], [1343, 2256], [1343, 2280]]
28:[[1310, 2280], [1343, 2280], [1310, 2296]]
28:[[1310, 2296], [1343, 2280], [1343, 2296]]
28:[[0, 0], [0, 0], [0, 0]]
28:[[0, 0], [0, 0], [0, 0]]
28:[[0, 0], [0, 0], [0, 0]]
28:[[0, 0], [0, 0], [0, 0]]
28:[[0, 0], [0, 0], [0, 0]]
28:[[0, 0], [0, 0], [0, 0]]
28:[[0, 0], [0, 0], [0, 0]]
28:[[0, 0], [0, 0], [0, 0]]
28:[[1310, 2296], [1343, 2296], [1310, 2320]]
28:[[1310, 2320], [1343, 2296], [1343, 2320]]
28:[[1310, 2320], [1343, 2320], [1310, 2336]]
28:[[1310, 2336], [1343, 2320], [1343, 2336]]
28:[[1310, 2464], [1343, 2464], [1310, 2560]]
28:[[1310, 2560], [1343, 2464], [1343, 2560]]
29:[[3068, 4445.077], [2904, 4428.923], [2952.2354, 4458]]
29:[[3068, 4445.077], [2977.961, 4416], [2904, 4428.923]]
29:[[3068, 4445.077], [3013.3333, 4416], [2977.961, 4416]]
